FACILITY_ID,FACILITY_NAME,CHEM_NAME,CAS_NUM,CHEM_ID,CARCINOGEN,CLEAN_AIR,LIST_3350,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_ABBR,GENERIC_CHEM_NAME,CAS_CHEM_NAME,INDUSTRY_CODE
61602RCHRDFOOTO,ADM,XYLENE (MIXED ISOMERS),   1330-20-7,1330207,N,Y,Y,1 EDMUND ST,PEORIA,PEORIA,IL,NA,XYLENE (MIXED ISOMERS),325
61109DYNBR1310S,FPM PLATING LLC (DBA FPM-D B METAL FINISHING),"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",   7664-93-9,7664939,N,N,N,1310 SAMUELSON RD,ROCKFORD,WINNEBAGO,IL,NA,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",332
60499CHMCN7050W,UNIVAR USA INC,TOLUENE,    108-88-3,108883,N,Y,N,7050 W 71ST ST,BEDFORD PARK,COOK,IL,NA,TOLUENE,4246
60630RYCLN5540N,RYCOLINE PRODUCTS LLC,NITRATE COMPOUNDS,N511,N511,N,N,N,5540 NW HWY,CHICAGO,COOK,IL,NA,NITRATE COMPOUNDS,325
61402GTSRBKNOXV,GATES CORP,CERTAIN GLYCOL ETHERS,N230,N230,N,Y,N,630 US HIGHWAY 150 E,GALESBURG,KNOX,IL,NA,CERTAIN GLYCOL ETHERS,326
62863SNPNT1200W,SNAP-ON INC,NICKEL,   7440-02-0,7440020,Y,Y,Y,721 OAK ST,MOUNT CARMEL,WABASH,IL,NA,NICKEL,332
62959MRCNFRR7XX,AMERICAN FIBER-LITE INC,STYRENE,    100-42-5,100425,Y,Y,N,RR 7,MARION,WILLIAMSON,IL,NA,STYRENE,326
60624STRMB600NP,STROMBECKER CORP,TOLUENE,    108-88-3,108883,N,Y,N,600 N PULASKI,CHICAGO,COOK,IL,NA,TOLUENE,339
60439NCLCR135TH,CITGO PETROLEUM CORP LEMONT REFINERY,NICKEL COMPOUNDS,N495,N495,N,Y,Y,135TH ST & NEW AVE,LEMONT,WILL,IL,NA,NICKEL COMPOUNDS,324
60174JRRWP315N9,HOLM INDUSTRIES,DI(2-ETHYLHEXYL) PHTHALATE,    117-81-7,117817,Y,Y,N,315 N 9TH ST,SAINT CHARLES,KANE,IL,NA,DI(2-ETHYLHEXYL) PHTHALATE,326
60608KRRXX2444W,KERR GROUP INC,N-BUTYL ALCOHOL,     71-36-3,71363,N,N,N,2444 W 16TH ST,CHICAGO,COOK,IL,NA,N-BUTYL ALCOHOL,332
60411CLMTS317E1,CALUMET STEEL CO,LEAD COMPOUNDS,N420,N420,N,Y,Y,317 E 11TH ST,CHICAGO HEIGHTS,COOK,IL,NA,LEAD COMPOUNDS,331
62232SFTYK20TUC,SAFETY-KLEEN SYSTEMS (516002),LEAD,   7439-92-1,7439921,Y,Y,Y,20 TUCKER DR,CASEYVILLE,ST CLAIR,IL,NA,LEAD,562
60434MCCHM12MIL,FLINT HILLS RESOURCES JOLIET LLC,AMMONIA,   7664-41-7,7664417,N,N,N,23425 AMOCO RD,CHANNAHON,WILL,IL,NA,AMMONIA,325
61364STRTR410WE,STREATOR DEPENDABLE,NICKEL,   7440-02-0,7440020,Y,Y,Y,410 W BROADWAY AVE,STREATOR,LA SALLE,IL,NA,NICKEL,332
60085CRLNC135LE,CORAL CHEMICAL CO,NITRIC ACID,   7697-37-2,7697372,N,N,N,135 LEBARON ST,WAUKEGAN,LAKE,IL,NA,NITRIC ACID,325
60098RNTZN14600,ARNTZEN CORP,NICKEL,   7440-02-0,7440020,Y,Y,Y,14600 WASHINGTON ST,WOODSTOCK,MCHENRY,IL,NA,NICKEL,331
61602RCHRDFOOTO,ADM,CHLORINE,   7782-50-5,7782505,N,Y,N,1 EDMUND ST,PEORIA,PEORIA,IL,NA,CHLORINE,325
60804CHMCL5700W,CHEMICAL PETROLEUM EXCHANGE,POLYCYCLIC AROMATIC COMPOUNDS,N590,N590,Y,Y,N,5700 W 41ST ST,CICERO,COOK,IL,NA,POLYCYCLIC AROMATIC COMPOUNDS,324
62454MRTHNMARAT,MARATHON PETROLEUM CO LP ILLINOIS REFINING DIV,NITRATE COMPOUNDS,N511,N511,N,N,N,100 MARATHON AVE,ROBINSON,CRAWFORD,IL,NA,NITRATE COMPOUNDS,324
61242MXXXX22614,3M CO - CORDOVA,ACRYLAMIDE,     79-06-1,79061,Y,Y,N,22614 RT 84 N,CORDOVA,ROCK ISLAND,IL,NA,ACRYLAMIDE,325
62205KZCTN2904M,NUPLEX RESINS LLC,ETHYLBENZENE,    100-41-4,100414,N,Y,N,2904 MISSOURI AVE,EAST SAINT LOUIS,ST CLAIR,IL,NA,ETHYLBENZENE,325
60633TWRTM1235S,TOWER AUTOMOTIVE,CHROMIUM,   7440-47-3,7440473,Y,Y,Y,12350 S AVE O,CHICAGO,COOK,IL,NA,CHROMIUM,336
60473NVRSL16655,NIAGARA LASALLE CORP - SOUTH HOLLAND,CHROMIUM,   7440-47-3,7440473,Y,Y,Y,16655 S CANAL ST,SOUTH HOLLAND,COOK,IL,NA,CHROMIUM,331
60123PLSTC1330H,PLASTIC DECORATORS INC,TOLUENE,    108-88-3,108883,N,Y,N,1330 HOLMES RD,ELGIN,KANE,IL,NA,TOLUENE,326
60018RHCRB1633B,RAHCO RUBBER INC,ZINC COMPOUNDS,N982,N982,N,N,N,1633 BIRCHWOOD AVE,DES PLAINES,COOK,IL,NA,ZINC COMPOUNDS,326
60411BHRPR270ST,BEHR PROCESS CORP-CHICAGO,ZINC COMPOUNDS,N982,N982,N,N,N,270 STATE ST,CHICAGO HEIGHTS,COOK,IL,NA,ZINC COMPOUNDS,325
61068MCLC0100ES,ROCHELLE TERMINAL,BENZO(G H I)PERYLENE,    191-24-2,191242,Y,Y,N,100 E STANDARD OIL RD,ROCHELLE,OGLE,IL,NA,BENZO(G H I)PERYLENE,4247
60436JLTGN1800C,JOLIET GENERATING STATION (#9 & #29),COPPER COMPOUNDS,N100,N100,N,N,N,1800 CHANNAHON RD,JOLIET,WILL,IL,NA,COPPER COMPOUNDS,2211
